symbol,type,strike,expiration,alert_time,entry_price,size,premium,polygon_ticker,samples,peak_price,peak_time,peak_return_pct,minutes_to_peak,hit_15_pct,hit_20_pct,hit_25_pct
PFE,C,25.5,2025-11-28,2025-11-14T12:51:00-05:00,0.57,5000,285000,O:PFE251128C00025500,1337.0,0.57,2025-11-25T09:45:00-05:00,0.0,15654.0,False,False,False
PFE,C,25.5,2025-11-28,2025-11-14T13:03:00-05:00,0.5,5000,250000,O:PFE251128C00025500,1333.0,0.57,2025-11-25T09:45:00-05:00,13.99999999999999,15642.0,False,False,False
MRNA,C,25.5,2025-11-21,2025-11-14T13:03:00-05:00,0.53,5000,265000,O:MRNA251121C00025500,483.0,0.77,2025-11-17T12:27:00-05:00,45.283018867924525,4284.0,True,True,True
MRK,C,96.0,2025-11-21,2025-11-14T13:25:00-05:00,0.81,5000,405000,O:MRK251121C00096000,454.0,3.98,2025-11-21T12:45:00-05:00,391.35802469135797,10040.0,True,True,True
PYPL,C,65.0,2025-11-21,2025-11-14T13:40:00-05:00,0.67,5000,335000,O:PYPL251121C00065000,586.0,0.63,2025-11-14T13:40:00-05:00,-5.970149253731348,0.0,False,False,False
MRK,C,96.0,2025-11-21,2025-11-14T13:52:00-05:00,0.64,5000,320000,O:MRK251121C00096000,448.0,3.98,2025-11-21T12:45:00-05:00,521.875,10013.0,True,True,True
MRK,C,96.0,2025-11-21,2025-11-14T14:11:00-05:00,0.6,5000,300000,O:MRK251121C00096000,443.0,3.98,2025-11-21T12:45:00-05:00,563.3333333333334,9994.0,True,True,True
PYPL,C,65.0,2025-11-21,2025-11-14T14:14:00-05:00,0.62,5000,310000,O:PYPL251121C00065000,563.0,0.61,2025-11-14T14:14:00-05:00,-1.6129032258064528,0.0,False,False,False
PYPL,C,65.0,2025-11-21,2025-11-14T14:40:00-05:00,0.55,5000,275000,O:PYPL251121C00065000,551.0,0.55,2025-11-14T14:59:00-05:00,0.0,19.0,False,False,False
PYPL,C,65.0,2025-11-21,2025-11-14T14:50:00-05:00,0.52,6759,351000,O:PYPL251121C00065000,546.0,0.55,2025-11-14T14:59:00-05:00,5.7692307692307745,9.0,False,False,False
GME,C,21.0,2025-11-21,2025-11-14T14:50:00-05:00,0.43,10856,467000,O:GME251121C00021000,1180.0,0.46,2025-11-14T15:02:00-05:00,6.976744186046519,12.0,False,False,False
MRK,C,96.0,2025-11-21,2025-11-14T15:09:00-05:00,0.74,5000,370000,O:MRK251121C00096000,435.0,3.98,2025-11-21T12:45:00-05:00,437.8378378378379,9936.0,True,True,True
MRNA,C,25.5,2025-11-21,2025-11-14T15:09:00-05:00,0.55,5000,275000,O:MRNA251121C00025500,455.0,0.77,2025-11-17T12:27:00-05:00,39.99999999999999,4158.0,True,True,True
MRNA,C,25.5,2025-11-21,2025-11-14T15:20:00-05:00,0.55,5000,275000,O:MRNA251121C00025500,453.0,0.77,2025-11-17T12:27:00-05:00,39.99999999999999,4147.0,True,True,True
PYPL,C,65.0,2025-11-21,2025-11-14T15:23:00-05:00,0.52,5000,260000,O:PYPL251121C00065000,528.0,0.55,2025-11-14T15:26:00-05:00,5.7692307692307745,3.0,False,False,False
DIS,C,108.0,2025-11-21,2025-11-14T15:48:00-05:00,0.78,4065,317000,O:DIS251121C00108000,511.0,1.26,2025-11-17T10:01:00-05:00,61.53846153846153,3973.0,True,True,True
ORCL,C,245.0,2025-11-21,2025-11-14T15:52:00-05:00,0.89,5000,445000,O:ORCL251121C00245000,701.0,0.98,2025-11-14T15:55:00-05:00,10.112359550561795,3.0,False,False,False
CLF,C,11.5,2025-12-05,2025-11-17T11:49:00-05:00,0.61,5000,305000,O:CLF251205C00011500,409.0,1.66,2025-12-01T09:36:00-05:00,172.13114754098356,20027.0,True,True,True
CLF,C,11.5,2025-12-05,2025-11-17T12:28:00-05:00,0.58,5000,290000,O:CLF251205C00011500,406.0,1.66,2025-12-01T09:36:00-05:00,186.20689655172416,19988.0,True,True,True
CLF,C,11.5,2025-12-05,2025-11-17T13:06:00-05:00,0.52,5000,260000,O:CLF251205C00011500,401.0,1.66,2025-12-01T09:36:00-05:00,219.2307692307692,19950.0,True,True,True
GOOGL,C,310.0,2025-11-28,2025-11-17T13:57:00-05:00,0.9,4067,366000,O:GOOGL251128C00310000,1986.0,19.0,2025-11-25T10:20:00-05:00,2011.111111111111,11303.0,True,True,True
ARKK,P,70.0,2025-11-28,2025-11-17T14:16:00-05:00,0.99,5000,495000,O:ARKK251128P00070000,200.0,1.78,2025-11-20T15:58:00-05:00,79.7979797979798,4422.0,True,True,True
PYPL,C,65.0,2025-12-05,2025-11-17T14:20:00-05:00,0.95,5000,475000,O:PYPL251205C00065000,1194.0,0.95,2025-11-17T15:54:00-05:00,0.0,94.0,False,False,False
GOOGL,C,310.0,2025-11-28,2025-11-17T14:34:00-05:00,0.74,4302,318000,O:GOOGL251128C00310000,1972.0,19.0,2025-11-25T10:20:00-05:00,2467.5675675675675,11266.0,True,True,True
AAPL,C,277.5,2025-11-28,2025-11-17T15:02:00-05:00,0.97,5000,485000,O:AAPL251128C00277500,2396.0,4.15,2025-11-25T09:36:00-05:00,327.8350515463918,11194.0,True,True,True
PYPL,C,65.0,2025-12-05,2025-11-17T15:02:00-05:00,0.85,10086,857000,O:PYPL251205C00065000,1182.0,0.95,2025-11-17T15:54:00-05:00,11.764705882352938,52.0,False,False,False
PYPL,C,65.0,2025-12-05,2025-11-17T15:03:00-05:00,0.85,5000,425000,O:PYPL251205C00065000,1182.0,0.95,2025-11-17T15:54:00-05:00,11.764705882352938,51.0,False,False,False
UBER,P,87.0,2025-11-28,2025-11-17T15:07:00-05:00,0.74,3771,279000,O:UBER251128P00087000,272.0,5.52,2025-11-21T11:12:00-05:00,645.9459459459458,5525.0,True,True,True
UBER,P,87.0,2025-11-28,2025-11-17T15:08:00-05:00,0.74,3771,279000,O:UBER251128P00087000,272.0,5.52,2025-11-21T11:12:00-05:00,645.9459459459458,5524.0,True,True,True
AAPL,C,277.5,2025-11-28,2025-11-17T15:17:00-05:00,0.94,5000,470000,O:AAPL251128C00277500,2392.0,4.15,2025-11-25T09:36:00-05:00,341.4893617021277,11179.0,True,True,True
AAPL,C,277.5,2025-11-28,2025-11-17T15:23:00-05:00,0.94,5000,470000,O:AAPL251128C00277500,2390.0,4.15,2025-11-25T09:36:00-05:00,341.4893617021277,11173.0,True,True,True
GOOGL,C,310.0,2025-11-28,2025-11-17T15:23:00-05:00,0.73,4444,324000,O:GOOGL251128C00310000,1962.0,19.0,2025-11-25T10:20:00-05:00,2502.7397260273974,11217.0,True,True,True
GOOGL,C,310.0,2025-11-28,2025-11-17T15:37:00-05:00,0.74,4461,330000,O:GOOGL251128C00310000,1955.0,19.0,2025-11-25T10:20:00-05:00,2467.5675675675675,11203.0,True,True,True
AAPL,C,277.5,2025-11-28,2025-11-17T15:39:00-05:00,0.96,5000,480000,O:AAPL251128C00277500,2384.0,4.15,2025-11-25T09:36:00-05:00,332.29166666666674,11157.0,True,True,True
GOOGL,C,310.0,2025-11-28,2025-11-17T15:39:00-05:00,0.73,4463,326000,O:GOOGL251128C00310000,1955.0,19.0,2025-11-25T10:20:00-05:00,2502.7397260273974,11201.0,True,True,True
UBER,P,87.0,2025-11-28,2025-11-17T15:39:00-05:00,0.69,3772,260000,O:UBER251128P00087000,271.0,5.52,2025-11-21T11:12:00-05:00,700.0000000000001,5493.0,True,True,True
DAL,P,53.0,2025-11-28,2025-11-17T15:39:00-05:00,0.74,5000,370000,O:DAL251128P00053000,74.0,0.7,2025-11-17T15:50:00-05:00,-5.405405405405411,11.0,False,False,False
AAPL,C,277.5,2025-11-28,2025-11-17T15:40:00-05:00,0.96,5000,480000,O:AAPL251128C00277500,2384.0,4.15,2025-11-25T09:36:00-05:00,332.29166666666674,11156.0,True,True,True
UBER,P,87.0,2025-11-28,2025-11-17T15:40:00-05:00,0.69,3772,260000,O:UBER251128P00087000,271.0,5.52,2025-11-21T11:12:00-05:00,700.0000000000001,5492.0,True,True,True
DAL,P,53.0,2025-11-28,2025-11-17T15:40:00-05:00,0.74,5000,370000,O:DAL251128P00053000,74.0,0.7,2025-11-17T15:50:00-05:00,-5.405405405405411,10.0,False,False,False
PYPL,C,65.0,2025-12-05,2025-11-17T15:46:00-05:00,0.91,5000,455000,O:PYPL251205C00065000,1172.0,0.95,2025-11-17T15:54:00-05:00,4.395604395604387,8.0,False,False,False
GDX,P,70.0,2025-11-28,2025-11-18T11:00:00-05:00,0.55,5000,275000,O:GDX251128P00070000,139.0,0.66,2025-11-21T10:41:00-05:00,19.999999999999996,4301.0,True,False,False
GDX,C,80.0,2025-11-28,2025-11-18T12:12:00-05:00,0.67,5000,335000,O:GDX251128C00080000,432.0,3.2,2025-11-28T12:01:00-05:00,377.6119402985075,14389.0,True,True,True
GDX,C,80.0,2025-11-28,2025-11-18T12:21:00-05:00,0.67,5000,335000,O:GDX251128C00080000,432.0,3.2,2025-11-28T12:01:00-05:00,377.6119402985075,14380.0,True,True,True
MRNA,P,24.0,2025-11-28,2025-11-18T12:40:00-05:00,1.0,2913,291000,O:MRNA251128P00024000,306.0,1.88,2025-11-20T15:59:00-05:00,87.99999999999999,3079.0,True,True,True
GDX,C,80.0,2025-11-28,2025-11-18T12:45:00-05:00,0.67,5000,335000,O:GDX251128C00080000,431.0,3.2,2025-11-28T12:01:00-05:00,377.6119402985075,14356.0,True,True,True
MRNA,P,24.0,2025-11-28,2025-11-18T12:50:00-05:00,1.0,2913,291000,O:MRNA251128P00024000,306.0,1.88,2025-11-20T15:59:00-05:00,87.99999999999999,3069.0,True,True,True
MRNA,P,24.0,2025-11-28,2025-11-18T13:14:00-05:00,1.0,2913,291000,O:MRNA251128P00024000,306.0,1.88,2025-11-20T15:59:00-05:00,87.99999999999999,3045.0,True,True,True
MRNA,P,24.0,2025-11-28,2025-11-18T13:24:00-05:00,1.0,2913,291000,O:MRNA251128P00024000,306.0,1.88,2025-11-20T15:59:00-05:00,87.99999999999999,3035.0,True,True,True
GOOGL,C,312.5,2025-11-28,2025-11-18T15:49:00-05:00,0.84,5000,420000,O:GOOGL251128C00312500,1169.0,16.57,2025-11-25T10:21:00-05:00,1872.6190476190477,9752.0,True,True,True
GOOGL,C,312.5,2025-11-28,2025-11-18T15:58:00-05:00,0.84,5000,420000,O:GOOGL251128C00312500,1169.0,16.57,2025-11-25T10:21:00-05:00,1872.6190476190477,9743.0,True,True,True
RIVN,C,15.0,2025-11-28,2025-11-18T16:01:00-05:00,0.65,5000,325000,O:RIVN251128C00015000,1072.0,2.11,2025-11-28T10:07:00-05:00,224.6153846153846,14046.0,True,True,True
GDX,C,82.5,2025-11-28,2025-11-19T10:12:00-05:00,0.79,3500,276000,O:GDX251128C00082500,92.0,0.65,2025-11-28T11:16:00-05:00,-17.72151898734177,13024.0,False,False,False
GDX,C,82.5,2025-11-28,2025-11-19T10:13:00-05:00,0.79,3500,276000,O:GDX251128C00082500,92.0,0.65,2025-11-28T11:16:00-05:00,-17.72151898734177,13023.0,False,False,False
SMCI,C,36.0,2025-11-28,2025-11-19T11:29:00-05:00,1.0,5000,500000,O:SMCI251128C00036000,653.0,1.4,2025-11-20T09:32:00-05:00,39.99999999999999,1323.0,True,True,True
SMCI,C,36.0,2025-11-28,2025-11-19T11:37:00-05:00,0.93,5000,465000,O:SMCI251128C00036000,648.0,1.4,2025-11-20T09:32:00-05:00,50.53763440860213,1315.0,True,True,True
BMY,P,45.0,2025-11-28,2025-11-19T12:06:00-05:00,0.65,5000,325000,O:BMY251128P00045000,141.0,0.88,2025-11-20T09:42:00-05:00,35.38461538461538,1296.0,True,True,True
BMY,P,45.0,2025-11-28,2025-11-19T12:08:00-05:00,0.65,5000,325000,O:BMY251128P00045000,141.0,0.88,2025-11-20T09:42:00-05:00,35.38461538461538,1294.0,True,True,True
SMCI,C,36.0,2025-11-28,2025-11-19T12:44:00-05:00,0.94,5000,470000,O:SMCI251128C00036000,634.0,1.4,2025-11-20T09:32:00-05:00,48.93617021276596,1248.0,True,True,True
SMCI,C,36.0,2025-11-28,2025-11-19T13:51:00-05:00,0.87,5000,435000,O:SMCI251128C00036000,628.0,1.4,2025-11-20T09:32:00-05:00,60.91954022988505,1181.0,True,True,True
WMT,P,95.0,2025-11-28,2025-11-19T14:13:00-05:00,0.94,2764,260000,O:WMT251128P00095000,148.0,1.03,2025-11-19T14:36:00-05:00,9.574468085106393,23.0,False,False,False
WMT,P,95.0,2025-11-28,2025-11-19T15:04:00-05:00,1.0,2804,280000,O:WMT251128P00095000,135.0,1.0,2025-11-19T15:04:00-05:00,0.0,0.0,False,False,False
AAPL,P,267.5,2025-12-05,2025-11-25T15:10:00-05:00,0.96,4614,443000,O:AAPL251205P00267500,775.0,0.96,2025-11-25T15:58:00-05:00,0.0,48.0,False,False,False
AAPL,C,287.5,2025-12-05,2025-11-25T15:10:00-05:00,0.64,5000,320000,O:AAPL251205C00287500,1194.0,2.33,2025-12-02T11:00:00-05:00,264.0625,9830.0,True,True,True
SMCI,C,33.5,2025-12-05,2025-11-25T15:10:00-05:00,0.94,5000,470000,O:SMCI251205C00033500,564.0,1.38,2025-12-02T09:58:00-05:00,46.80851063829787,9768.0,True,True,True
SMCI,C,34.0,2025-12-05,2025-11-25T15:10:00-05:00,0.81,5000,405000,O:SMCI251205C00034000,748.0,1.15,2025-11-26T09:37:00-05:00,41.97530864197529,1107.0,True,True,True
AI,C,15.0,2025-12-05,2025-11-25T15:10:00-05:00,0.63,5000,315000,O:AI251205C00015000,328.0,0.75,2025-11-26T09:46:00-05:00,19.047619047619047,1116.0,True,False,False
AAPL,P,267.5,2025-12-05,2025-11-25T15:24:00-05:00,0.89,4620,411000,O:AAPL251205P00267500,771.0,0.96,2025-11-25T15:58:00-05:00,7.865168539325837,34.0,False,False,False
AAPL,C,287.5,2025-12-05,2025-11-25T15:24:00-05:00,0.61,5000,305000,O:AAPL251205C00287500,1191.0,2.33,2025-12-02T11:00:00-05:00,281.96721311475414,9816.0,True,True,True
SMCI,C,33.5,2025-12-05,2025-11-25T15:24:00-05:00,0.94,5000,470000,O:SMCI251205C00033500,564.0,1.38,2025-12-02T09:58:00-05:00,46.80851063829787,9754.0,True,True,True
SMCI,C,34.0,2025-12-05,2025-11-25T15:24:00-05:00,0.82,5000,410000,O:SMCI251205C00034000,746.0,1.15,2025-11-26T09:37:00-05:00,40.24390243902439,1093.0,True,True,True
AI,C,15.0,2025-12-05,2025-11-25T15:24:00-05:00,0.63,5000,315000,O:AI251205C00015000,327.0,0.75,2025-11-26T09:46:00-05:00,19.047619047619047,1102.0,True,False,False
GOOGL,C,350.0,2025-12-05,2025-11-25T15:41:00-05:00,0.78,3894,304000,O:GOOGL251205C00350000,475.0,1.01,2025-11-25T15:56:00-05:00,29.487179487179482,15.0,True,True,True
SMCI,C,34.0,2025-12-05,2025-11-25T15:41:00-05:00,0.83,5000,415000,O:SMCI251205C00034000,744.0,1.15,2025-11-26T09:37:00-05:00,38.554216867469876,1076.0,True,True,True
IWM,P,222.0,2025-12-03,2025-11-25T16:07:00-05:00,0.69,5000,345000,O:IWM251203P00222000,4.0,0.05,2025-11-26T09:58:00-05:00,-92.75362318840578,1071.0,False,False,False
GOOGL,P,295.0,2025-12-05,2025-11-25T16:07:00-05:00,0.8,5000,400000,O:GOOGL251205P00295000,459.0,1.16,2025-11-26T10:25:00-05:00,44.999999999999986,1098.0,True,True,True
SOFI,P,28.5,2025-12-05,2025-11-26T15:17:00-05:00,0.86,3526,303000,O:SOFI251205P00028500,710.0,1.03,2025-11-26T15:58:00-05:00,19.76744186046512,41.0,True,False,False
FCX,C,45.0,2025-12-12,2025-11-26T15:29:00-05:00,0.36,8218,296000,O:FCX251212C00045000,260.0,0.75,2025-12-01T09:54:00-05:00,108.33333333333334,6865.0,True,True,True
GDX,P,76.5,2025-12-05,2025-11-26T15:41:00-05:00,0.42,13237,556000,O:GDX251205P00076500,22.0,0.46,2025-11-28T09:43:00-05:00,9.523809523809533,2522.0,False,False,False
MRNA,C,25.5,2025-12-05,2025-11-26T15:41:00-05:00,0.67,15344,1028000,O:MRNA251205C00025500,203.0,1.0,2025-11-28T12:59:00-05:00,49.253731343283576,2718.0,True,True,True
MRNA,C,26.0,2025-12-05,2025-11-26T15:41:00-05:00,0.5,8702,435000,O:MRNA251205C00026000,176.0,0.77,2025-11-28T12:46:00-05:00,54.0,2705.0,True,True,True
MRNA,C,27.0,2025-12-05,2025-11-26T15:41:00-05:00,0.26,14658,381000,O:MRNA251205C00027000,129.0,0.36,2025-11-28T09:30:00-05:00,38.46153846153845,2509.0,True,True,True
SLV,C,50.0,2025-12-05,2025-11-26T15:41:00-05:00,0.58,19169,1112000,O:SLV251205C00050000,380.0,3.7,2025-12-01T11:46:00-05:00,537.9310344827587,6965.0,True,True,True
SLV,C,50.5,2025-12-05,2025-11-26T15:41:00-05:00,0.46,10439,480000,O:SLV251205C00050500,202.0,3.15,2025-12-01T11:44:00-05:00,584.7826086956521,6963.0,True,True,True
SLV,C,49.0,2025-12-05,2025-11-26T15:41:00-05:00,0.91,4370,398000,O:SLV251205C00049000,188.0,4.42,2025-12-01T11:45:00-05:00,385.71428571428567,6964.0,True,True,True
FXI,P,39.5,2025-12-12,2025-12-01T14:53:00-05:00,0.51,5000,255000,O:FXI251212P00039500,6.0,0.58,2025-12-02T09:41:00-05:00,13.725490196078422,1128.0,False,False,False
INTC,C,46.0,2025-12-05,2025-12-02T10:54:00-05:00,0.64,4353,279000,O:INTC251205C00046000,186.0,0.54,2025-12-02T10:57:00-05:00,-15.624999999999996,3.0,False,False,False
IWM,P,240.0,2025-12-10,2025-12-02T11:24:00-05:00,0.97,4351,422000,O:IWM251210P00240000,19.0,1.29,2025-12-02T11:28:00-05:00,32.98969072164949,4.0,True,True,True
RIVN,C,18.0,2025-12-05,2025-12-02T11:31:00-05:00,0.18,24340,438000,O:RIVN251205C00018000,194.0,0.48,2025-12-02T12:19:00-05:00,166.66666666666669,48.0,True,True,True
PINS,C,27.5,2025-12-05,2025-12-02T11:45:00-05:00,0.2,11997,240000,O:PINS251205C00027500,120.0,0.26,2025-12-02T12:32:00-05:00,30.0,47.0,True,True,True
SOFI,C,31.0,2025-12-12,2025-12-02T11:46:00-05:00,0.87,5000,435000,O:SOFI251212C00031000,205.0,1.11,2025-12-02T12:26:00-05:00,27.586206896551737,40.0,True,True,True
MRNA,P,23.5,2025-12-12,2025-12-02T11:58:00-05:00,0.76,2742,208000,O:MRNA251212P00023500,8.0,0.7,2025-12-02T12:27:00-05:00,-7.89473684210527,29.0,False,False,False
SLV,C,55.0,2025-12-05,2025-12-02T11:58:00-05:00,0.26,10496,273000,O:SLV251205C00055000,87.0,0.41,2025-12-02T15:43:00-05:00,57.69230769230768,225.0,True,True,True
IWM,P,241.0,2025-12-09,2025-12-02T12:16:00-05:00,0.95,2532,241000,O:IWM251209P00241000,7.0,0.77,2025-12-02T12:53:00-05:00,-18.947368421052627,37.0,False,False,False
NVDA,C,197.5,2025-12-12,2025-12-02T12:16:00-05:00,0.62,4451,276000,O:NVDA251212C00197500,100.0,0.68,2025-12-02T12:32:00-05:00,9.677419354838717,16.0,False,False,False
RIVN,P,17.0,2025-12-05,2025-12-02T12:48:00-05:00,0.32,7786,249000,O:RIVN251205P00017000,71.0,0.36,2025-12-02T13:10:00-05:00,12.499999999999993,22.0,False,False,False
NVDA,C,197.5,2025-12-12,2025-12-02T13:36:00-05:00,0.6,4675,280000,O:NVDA251212C00197500,59.0,0.6,2025-12-02T13:36:00-05:00,0.0,0.0,False,False,False
SGML,C,11.0,2025-12-19,2025-12-02T13:52:00-05:00,0.9,3648,328000,O:SGML251219C00011000,19.0,0.95,2025-12-02T14:08:00-05:00,5.555555555555548,16.0,False,False,False
SLV,C,56.0,2025-12-12,2025-12-02T15:57:00-05:00,0.81,3532,286000,O:SLV251212C00056000,3.0,0.83,2025-12-02T15:57:00-05:00,2.469135802469124,0.0,False,False,False
